순번,단지명,회사명,공장대표주소(도로명),공장대표주소(지번),업종번호,업종명,업종분류,전화번호,팩스번호,남종업원,여종업원,외국인(남),외국인(여),종업원수,생산품,용지면적,제조시설면적,부대시설면적,건축면적
11,진주상평일반산업단지,(주)극동스틸 2공장,경상남도 진주시 남강로1317번길 10(상평동) 외 1필지,경상남도 진주시 상평동 55-114 외 1필지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-758-4200,055-758-0990,3,1,0,0,4,농기계부품 외,996,676,0,676
12,진주상평일반산업단지,(주)금강페인팅,경상남도 진주시 남강로 1295 (상평동),경상남도 진주시 상평동 55-61번지,"25923, ",도장 및 기타 피막처리업,"금속가공, 기계",055-758-9324,055-759-9532,3,1,0,0,4,금속부품가공품,0,698.95,510.89,1209.84
13,진주상평일반산업단지,(주)금성기계,경상남도 진주시 돗골로70번길 14 (상평동),경상남도 진주시 상평동 201-7번지,"29210, ",농업 및 임업용 기계 제조업,"금속가공, 기계",055-755-5518,055-755-5587,20,10,3,1,34,농기계부품,1795.7,426.5,92.33,518.83
14,진주상평일반산업단지,(주)금성열처리,경상남도 진주시 돗골로70번길 14 (상평동),경상남도 진주시 상평동 201-17번지,"25921, ",금속 열처리업,"금속가공, 기계",055-758-5508,055-758-5508,13,5,0,0,18,금속열처리,881.5,481.5,105,586.5
15,진주상평일반산업단지,(주)금영제지,경상남도 진주시 솔밭로56번길 24 (상평동),경상남도 진주시 상평동 223-2번지,"17909, ",그 외 기타 종이 및 판지 제품 제조업,"목재, 종이, 출판",055-759-4891,055-759-4894,10,6,0,0,16,박엽지,3874.9,1007.8,784.3,1792.1
16,진주상평일반산업단지,(주)남양염직,경상남도 진주시 동진로312번길 14 (상대동),경상남도 진주시 상대동 33-68번지,"13401, 13402",솜 및 실 염색가공업 외 1 종,"섬유, 의복",055-753-7000,055-755-7300,4,16,0,0,20,염색가공(견직물염색가공),4947,1432,252.85,1684.85
17,진주상평일반산업단지,(주)대동정비,경상남도 진주시 도동로 150 (상대동),경상남도 진주시 상대동 33-121번지,"29241, ",건설 및 채광용 기계장비 제조업,"금속가공, 기계",055-752-1121,055-752-3931,39,4,0,0,43,중기부품(자동차제조),5688,1603.35,579.6,2182.95
18,진주상평일반산업단지,(주)대동종합주방,경상남도 진주시 솔밭로56번길 7 (상평동),경상남도 진주시 상평동 222-14번지,"25992, 25993, 28511, 29250, 29261, 29299, 31999, 33301",수동식 식품 가공기기 및 금속 주방용기 제조업 외 7 종,"금속가공, 기계",055-746-8702,055-746-8705,5,1,0,0,6,상업용 주방기구,635.27,201.47,30.78,232.25
19,진주상평일반산업단지,(주)대명금속,경상남도 진주시 솔밭로 30 (상평동) (총 2 필지) 외 1필지,경상남도 진주시 상평동 225-15번지 외 1필지,"29210, ",농업 및 임업용 기계 제조업,"금속가공, 기계",055-752-4993,055-752-0995,33,4,1,0,38,"농기계부품(콤바인, 트랙터, 기타외)",2094.93,567.37,0,567.37
20,진주상평일반산업단지,(주)대명금속 제2공장,경상남도 진주시 솔밭로 46 (상평동),경상남도 진주시 상평동 223-10번지,"29210, ",농업 및 임업용 기계 제조업,"금속가공, 기계",055-752-4993,055-752-0995,3,0,0,0,3,농기계부품,2144.1,1057.88,547.28,1605.16
21,진주상평일반산업단지,(주)대창가스,경상남도 진주시 돗골로 61 (상평동),경상남도 진주시 상평동 214-17번지,"20121, ",산업용 가스 제조업,"석유화학, 플라스틱",055-752-3330,055-757-2242,26,3,0,0,29,"산소,수소,아세칠렌 등",3306,567.14,428.79,995.93
22,진주상평일반산업단지,(주)대창공업,경상남도 진주시 도동로87번길 14 (상평동),경상남도 진주시 상평동 55-2번지,"29142, ",기어 및 동력전달장치 제조업,"금속가공, 기계",055-752-5631,055-755-8285,6,2,0,0,8,농기계부품(감속기),569.9,462.5,107.4,569.9
23,진주상평일반산업단지,(주)대호공업,경상남도 진주시 솔밭로43번길 8 (상평동),경상남도 진주시 상평동 266-28번지,"29210, ",농업 및 임업용 기계 제조업,"금속가공, 기계",055-759-9391,055-759-9305,4,2,0,0,6,농기계부품,826.6,590.92,24,614.92
24,진주상평일반산업단지,(주)동명공업,경상남도 진주시 솔밭로44번길 19 (상평동),경상남도 진주시 상평동 223-12번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-758-6023,055-755-6015,6,0,0,0,6,프랜지,770.7,170,83.98,253.98
25,진주상평일반산업단지,(주)동명실크,경상남도 진주시 공단로 197 (상평동),경상남도 진주시 상평동 55-17번지,"13219, ",특수 직물 및 기타 직물 직조업,"섬유, 의복",055-757-1124,055-757-1125,3,12,0,0,15,신크한복지,0,1328.03,0,1328.03
26,진주상평일반산업단지,(주)동부안전산업,경상남도 진주시 공단로 52(상평동),경상남도 진주시 상평동 267-11,"25994, 33910",금속 표시판 제조업 외 1 종,"금속가공, 기계",055-763-6007,055-763-8007,7,3,0,0,10,교통표지판 등,2064.2,924,202.5,1126.5
27,진주상평일반산업단지,(주)동인,경상남도 진주시 솔밭로43번길 14 (상평동),경상남도 진주시 상평동 266-7번지,"25929, ",그 외 기타 금속가공업,"금속가공, 기계",055-752-2198,055-755-1855,2,1,0,0,3,농기계부품(플렌지 등),411.62,300,111.62,411.62
28,진주상평일반산업단지,(주)동화실크,경상남도 진주시 도동로 97-1(상대동),경상남도 진주시 상대동 33-100,"13219, ",특수 직물 및 기타 직물 직조업,"섬유, 의복",055-753-6333,055-753-4217,30,29,0,0,59,한복지(넥타이 원단),1714,237,199.5,436.5
29,진주상평일반산업단지,(주)두산종합목재,경상남도 진주시 동진로 295 (상대동) 외 1필지,경상남도 진주시 상대동 33-116번지 외 1필지,"16103, 16221, 25111","목재 보존, 방부처리, 도장 및 유사 처리업 외 2 종","목재, 종이, 출판",055-752-3438,055-758-1645,14,2,0,0,16,"방부목,목재문(틀),샤시문(틀)",6919,2005,4237.6,6242.6
30,진주상평일반산업단지,(주)명림,경상남도 진주시 돗골로58번길 11 (상평동) 외 1필지,경상남도 진주시 상평동 201-14번지 외 1필지,"25913, 25200, 25914, 26211, 26221, 26222, 26299, 26322, 26410, 26429, 28111, 28119, 28121, 28302, 28303, 28422, 30332, 30399",자동차용 금속 압형제품 제조업 외 17 종,"금속가공, 기계",055-758-7577,055-755-1443,20,5,0,0,25,농기계및자동차부품 등,2775.5,491.12,306.45,797.57
31,진주상평일반산업단지,(주)명림 2공장,경상남도 진주시 돗골로46번길 8 (상평동),경상남도 진주시 상평동 203-10번지,"25913, 25914, 25924",자동차용 금속 압형제품 제조업 외 2 종,"금속가공, 기계",055-758-7377,055-755-1443,2,1,0,0,3,"농기계부품, 자동차 부품, 방산및 항공기부품",1950.6,1121.58,258.15,1379.73
32,진주상평일반산업단지,(주)명림 3공장,경상남도 진주시 돗골로58번길 12 (상평동),경상남도 진주시 상평동 202-12번지,"25200, 30399",무기 및 총포탄 제조업 외 1 종,"금속가공, 기계",055-758-7377,055-755-1443,1,0,0,0,1,"유형볼, 그외자동차부품",0,99.9,72.56,172.46
33,진주상평일반산업단지,(주)미암,경상남도 진주시 남강로1367번길 27 (상대동) 외 1필지,경상남도 진주시 상대동 33-28번지 외 1필지,"29120, ",유압기기 제조업,"금속가공, 기계",055-760-5571,055-760-5576,11,0,1,0,12,조타실린더 등,3383,2441.84,1588.79,4030.63
34,진주상평일반산업단지,(주)보성씨아이씨,경상남도 진주시 솔밭로43번길 18 (상평동),경상남도 진주시 상평동 266-26번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-761-1151,055-762-1317,9,3,0,0,12,기어,303,205,7,212
35,진주상평일반산업단지,(주)부건,"경상남도 진주시 남강로 1351(상대동, 한마음 마인드 교육원)",경상남도 진주시 상대동 33-54 한마음 마인드 교육원,"25111, ","금속 문, 창, 셔터 및 관련제품 제조업","금속가공, 기계",055-763-2297,055-746-2297,4,0,0,0,4,금속제창,2803,1360,437.78,1797.78
36,진주상평일반산업단지,(주)비아이지 동양,경상남도 진주시 남강로1385번길 11 (상대동),경상남도 진주시 상대동 33-160,"29142, ",기어 및 동력전달장치 제조업,"금속가공, 기계",055-758-0016,055-754-3050,1,1,0,0,2,"자동차부품(기어, 샤프트류)",330.5,330.5,0,330.5
37,진주상평일반산업단지,(주)삼양,경상남도 진주시 남강로 1383 (상대동),경상남도 진주시 상대동 33-92번지,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종,"자동차, 운송장비",055-755-4000,공람,3,0,0,0,3,자동차 부품 기어,1712,1298.57,180.86,1479.43
38,진주상평일반산업단지,(주)성훈철강,경상남도 진주시 도동로 80 (상평동) (총 2 필지) 외 1필지,경상남도 진주시 상평동 55-21번지 외 1필지,"25119, 24132, 24133, 24199, 25112, 25113, 25114",기타 구조용 금속제품 제조업 외 6 종,"금속가공, 기계",055-760-3000,055-755-4694,37,8,0,0,45,"샌드위치판넬, 농업용파이프",23364,17995.95,1183.12,19179.07
39,진주상평일반산업단지,(주)성훈철강 레미콘 사업부,경상남도 진주시 공단로 238 (상평동) (총 2 필지),경상남도 진주시 상평동 55-34번지,"23322, ",레미콘 제조업,비금속,055-757-3139,055-759-1527,5,1,0,0,6,레미콘,7270,4734.31,413.4,5147.71
40,진주상평일반산업단지,(주)세림정공,경상남도 진주시 공단로187번길 14 (상평동) 외 1필지,경상남도 진주시 상평동 55-14번지 외 1필지,"29142, ",기어 및 동력전달장치 제조업,"금속가공, 기계",055-757-4910,055-763-0085,17,1,15,0,33,기어,4898,1864.94,87.63,1952.57
41,진주상평일반산업단지,(주)세한정밀,경상남도 진주시 도동로136번길 14 (상대동),경상남도 진주시 상대동 33-17번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-762-9311,055-762-9312,3,1,2,0,6,농기계 및 자동차부품,330,330,0,330
42,진주상평일반산업단지,(주)스마트테크,경상남도 진주시 남강로1317번길 25 (상평동),경상남도 진주시 상평동 55-25번지,"29223, ",금속 절삭기계 제조업,"금속가공, 기계",055-754-4056,055-754-4057,2,1,1,0,4,건설기계 부품,0,1088.25,29.7,1117.95
43,진주상평일반산업단지,(주)신동남유통상사,경상남도 진주시 공단로 46(상평동),경상남도 진주시 상평동 267-3,"23911, ",건설용 석제품 제조업,비금속,055-743-7989,055-747-7183,5,2,0,0,7,컷팅된 타일,6952.6,461,4039.11,4500.11
44,진주상평일반산업단지,(주)신아정밀,경상남도 진주시 돗골로69번길 8 (상평동) 외 1필지,경상남도 진주시 상평동 215-10번지 외 1필지,"29142, 25924",기어 및 동력전달장치 제조업 외 1 종,"금속가공, 기계",055-759-0619,055-754-1388,5,6,5,0,16,기어류,1862.1,1051.22,100.8,1152.02
45,진주상평일반산업단지,(주)신화포징,경상남도 진주시 솔밭로44번길 9 (상평동) 외 1필지,경상남도 진주시 상평동 223-8번지 외 1필지,"30399, 29210, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 4 종,"자동차, 운송장비",055-759-9600,055-759-3470,39,17,21,2,79,"자동차부품, 농기계부품",7285.3,4506.49,349.66,4856.15
46,진주상평일반산업단지,(주)신화포징 제1공장,경상남도 진주시 큰들로 67 (상평동) (총 2 필지) 외 1필지,경상남도 진주시 상평동 212-11번지 외 1필지,"29210, 30391, 30392, 30399, 30400",농업 및 임업용 기계 제조업 외 4 종,"금속가공, 기계",055-759-9600,055-759-3470,36,12,12,0,60,자동차부품(베어링),4404.7,2807.78,1367.15,4174.93
47,진주상평일반산업단지,(주)신흥,경상남도 진주시 대신로 150 (상평동) (총 3 필지) 외 2필지,경상남도 진주시 상평동 156-1번지 외 2필지,"22111, 20201",타이어 및 튜브 제조업 외 1 종,"석유화학, 플라스틱",055-752-6511,055-752-6535,196,73,21,0,290,"타이어, 튜브, CMB(천연및합성고무의혼합물)",24506.8,20877.6,5801.68,26679.28
48,진주상평일반산업단지,(주)영벤딩산업,경상남도 진주시 솔밭로44번길 12 (상평동),경상남도 진주시 상평동 224-7번지,"29210, 25112, 25913, 25914, 25994",농업 및 임업용 기계 제조업 외 4 종,"금속가공, 기계",055-762-0297,공람,4,1,0,0,5,"농기계부품, 안전난간, 표지판",1299.16,768.76,148.96,917.72
49,진주상평일반산업단지,(주)오렌지다이텍,경상남도 진주시 돗골로45번길 14 (상평동),경상남도 진주시 상평동 213-3번지,"13402, ","직물, 편조원단 및 의복류 염색 가공업","섬유, 의복",055-753-8888,055-757-0847,12,18,0,0,30,원사및 원단 염색가공업,9273,3283.17,228.36,3511.53
50,진주상평일반산업단지,(주)올드라인 스포츠,경상남도 진주시 대신로208번길 9-3 (상대동),경상남도 진주시 상대동 313-37,"33301, ","체조, 육상 및 체력단련용 장비 제조업",기타,070-4450-1861,055-756-7788,1,0,0,0,1,체력단련용 기구 및 장비 ,401,318.78,0,318.78
51,진주상평일반산업단지,(주)와이케이시스텍,경상남도 진주시 솔밭로56번길 7 (상평동),경상남도 진주시 상평동 222-14번지,"16211, 16102","박판, 합판 및 유사 적층판 제조업 외 1 종","목재, 종이, 출판",055-762-2314,054-971-2316,4,1,0,0,5,조립식패널 등,99.13,99.13,0,99.13
52,진주상평일반산업단지,(주)우림정밀,경상남도 진주시 도동로 122 (상대동) 외 1필지,경상남도 진주시 상대동 33-149번지 외 1필지,"25924, 30391, 30392, 30399, 30400",절삭가공 및 유사처리업 외 4 종,"금속가공, 기계",055-753-8717,055-753-6717,28,7,0,0,35,자동차엔진부품,4653,2678.96,1008.43,3687.39
53,진주상평일반산업단지,(주)우성기업,경상남도 진주시 솔밭로 55 (상평동) (총 2 필지) 외 1필지,경상남도 진주시 상평동 266-1번지 외 1필지,"23991, 23322",아스팔트 콘크리트 및 혼합제품 제조업 외 1 종,비금속,055-753-5556,055-757-2533,23,4,0,0,27,"아스콘, 레미콘",8322.2,1968.87,760.62,2729.49
54,진주상평일반산업단지,(주)원스탑우드,경상남도 진주시 도동로88번길 22 (상평동),경상남도 진주시 상평동 55-23번지,"16101, ",일반 제재업,"목재, 종이, 출판",055-761-3438,055-758-1645,7,1,0,0,8,"천연데크제,각재,펠렛",16453,2916,5036.46,7952.46
55,진주상평일반산업단지,(주)이노테크,경상남도 진주시 솔밭로 23 (상평동),경상남도 진주시 상평동 234-22번지,"28909, 28519, 29193, 29194",그 외 기타 전기장비 제조업 외 3 종,"전기, 전자",055-754-5440,055-758-1702,5,5,0,0,10,"해충퇴치기, 손소독기, 방역용소독기",209.6,180.94,53.34,234.28
56,진주상평일반산업단지,(주)일광,경상남도 진주시 큰들로 109-1 (상평동),경상남도 진주시 상평동 203-3번지,"28121, 28122","전기회로 개폐, 보호장치 제조업 외 1 종","전기, 전자",055-755-7766,055-755-2774,8,1,0,0,9,각종 제관품,1562.6,767.65,0,767.65
57,진주상평일반산업단지,(주)전진,경상남도 진주시 남강로 1295 (상평동),경상남도 진주시 상평동 55-61번지,"25913, 25914",자동차용 금속 압형제품 제조업 외 1 종,"금속가공, 기계",055-755-8372,055-762-5160,6,1,0,0,7,농기계부품,0,660,99,759
58,진주상평일반산업단지,(주)제일금속,경상남도 진주시 공단로 209 (상평동),경상남도 진주시 상평동 55-20번지,"25929, ",그 외 기타 금속가공업,"금속가공, 기계",055-759-8174,055-759-8176,5,1,0,0,6,"씽크대, 선반 등",641.12,495,146.12,641.12
59,진주상평일반산업단지,(주)제일기계공업,경상남도 진주시 대신로147번길 16 (상평동),경상남도 진주시 상평동 194-18번지,"29142, ",기어 및 동력전달장치 제조업,"금속가공, 기계",055-755-8738,055-753-8003,5,5,0,0,10,기어 및 샤프트,1076.5,557.5,0,557.5
60,진주상평일반산업단지,(주)진성,경상남도 진주시 남강로1385번길 27 (상대동),경상남도 진주시 상대동 33-159번지,"29131, ",액체 펌프 제조업,"금속가공, 기계",055-755-1116,055-755-1117,9,5,0,0,14,기어펌프 부품,0,409.6,39.2,448.8
61,진주상평일반산업단지,(주)진성정밀,경상남도 진주시 남강로1385번길 27 (상대동),경상남도 진주시 상대동 33-159번지,"29131, 30331, 30400",액체 펌프 제조업 외 2 종,"금속가공, 기계",055-752-8582,055-755-1117,18,6,9,0,33,"액체펌프, 건설장비 유압부품, 차량동력전달장치",6706,4260.27,796.18,5056.45
62,진주상평일반산업단지,(주)진양,경상남도 진주시 동진로311번길 11 (상대동) 외 1필지,경상남도 진주시 상대동 33-21번지 외 1필지,"22251, 22259",폴리스티렌 발포 성형제품 제조업 외 1 종,"석유화학, 플라스틱",055-756-5226,055-756-5229,9,1,0,0,10,경질우레탄폼단열제,8282,1708.3,2482.8,4191.1
63,진주상평일반산업단지,(주)진양공조설비,경상남도 진주시 돗골로58번길 14-1 (상평동),경상남도 진주시 상평동 202-17번지,"29173, ",산업용 송풍기 및 배기장치 제조업,"금속가공, 기계",055-753-5333,055-759-3266,4,1,0,0,5,닥트설비,0,100,26,126
64,진주상평일반산업단지,(주)창아,경상남도 진주시 공단로 78 (상평동),경상남도 진주시 상평동 222-11번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-754-5745,055-756-5745,5,0,0,0,5,기어 등,0,194.08,210.19,404.27
65,진주상평일반산업단지,(주)천보철강,경상남도 진주시 동진로 324 (상대동) (총 2 필지) 외 1필지,경상남도 진주시 상대동  33-148번지 외 1필지,"25119, 25112",기타 구조용 금속제품 제조업 외 1 종,"금속가공, 기계",055-757-2800,055-758-2827,22,5,5,0,32,"샌드위치패널, 금속재패널",18300,8300.91,1626.48,9927.39
66,진주상평일반산업단지,(주)케이에스씨,경상남도 진주시 큰들로 22 (상평동),경상남도 진주시 상평동 233-10번지,"29210, ",농업 및 임업용 기계 제조업,"금속가공, 기계",055-753-2867,055-758-2808,2,2,0,0,4,농기계및 자동차 축,396.1,237.17,64,301.17
67,진주상평일반산업단지,(주)태광시스템,경상남도 진주시 공단로 246 (상평동),경상남도 진주시 상평동 55-36번지,"22223, 25111",플라스틱 창호 제조업 외 1 종,"석유화학, 플라스틱",055-759-7801,055-759-6990,9,2,0,0,11,샷시문,3657,1497.4,0,1497.4
68,진주상평일반산업단지,(주)태백철강,경상남도 진주시 솔밭로44번길 23 (상평동),경상남도 진주시 상평동 223-3번지,"24199, ",그 외 기타 1차 철강 제조업,"1차금속, 철강",055-753-9146,055-758-9140,4,1,0,0,5,철판,1187.8,852.48,72,924.48
69,진주상평일반산업단지,(주)태진메탈,경상남도 진주시 돗골로46번길 24 (상평동),경상남도 진주시 상평동 203-1번지,"25912, 29210",금속 단조제품 제조업 외 1 종,"금속가공, 기계",055-795-0795,055-795-0796,7,2,0,0,9,농기계부품 등,766.3,242.25,120.9,363.15
70,진주상평일반산업단지,(주)티앤지세정,경상남도 진주시 도동로156번길 24(상대동) 외 1필지,경상남도 진주시 상대동 33-2 외 1필지,"29169, 25112, 25113, 25114",기타 물품 취급장비 제조업 외 3 종,"금속가공, 기계",055-763-7605,055-763-7606,26,11,11,2,50,산업용 엔진 부품,7042,5252.74,1192.55,6445.29
71,진주상평일반산업단지,(주)피엔에스홈즈,경상남도 진주시 남강로1317번길 9 (상평동),경상남도 진주시 상평동 55-31번지,"25111, 22223","금속 문, 창, 셔터 및 관련제품 제조업 외 1 종","금속가공, 기계",051-316-5900,051-315-0779,7,3,0,0,10,"샤시문제조,철문제조,금속스크린도어제조",3818,390.6,1680,2070.6
72,진주상평일반산업단지,(주)한반도,경상남도 진주시 대신로 139(상평동),경상남도 진주시 상평동 192-1,"16299, ",그 외 기타 나무제품 제조업,"목재, 종이, 출판",055-744-4040,055-744-4015,2,0,0,0,2,조경시설물,49599.1,1723,3712.68,5435.68
73,진주상평일반산업단지,(주)한성공업,경상남도 진주시 공단로259번길 9 (상평동),경상남도 진주시 상평동 55-65번지,"29210, ",농업 및 임업용 기계 제조업,"금속가공, 기계",055-757-1520,055-753-6911,7,3,0,0,10,"히치링크,브라켓트,드로우바",1926,921.73,254.37,1176.1
74,진주상평일반산업단지,(주)한신철강,경상남도 진주시 남강로 1285 (상평동),경상남도 진주시 상평동 55-38번지,"24199, ",그 외 기타 1차 철강 제조업,"1차금속, 철강",055-754-0880,055-754-0886,6,3,0,0,9,철파이프,1000,592.5,62.4,654.9
75,진주상평일반산업단지,(주)합동가스,경상남도 진주시 솔밭로32번길 19 (상평동),경상남도 진주시 상평동 224-3번지,"20121, ",산업용 가스 제조업,"석유화학, 플라스틱",055-752-8221,055-752-6615,9,1,0,0,10,LPG충전,2216.2,308.81,0,308.81
76,진주상평일반산업단지,(주)현대철강,경상남도 진주시 동진로 326 (상대동),경상남도 진주시 상대동 33-141번지,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,"금속가공, 기계",055-759-8000,055-758-2827,15,6,0,0,21,"철재류,절단,절곡",1985,1650,0,1650
77,진주상평일반산업단지,(주)호림,경상남도 진주시 동진로 290 (상대동),경상남도 진주시 상대동 33-87번지,"25113, 23232, 23911, 25114",육상 금속 골조 구조재 제조업 외 3 종,"금속가공, 기계",055-755-5555,055-759-1527,4,0,0,0,4,"전통기와지붕재,S골 지붕재,모자이크 큐브,각석제 등",7560,2462.3,1242.76,3705.06
78,진주상평일반산업단지,(주)홀푸드시스템,경상남도 진주시 공단로 46(상평동),경상남도 진주시 상평동 267-3,"10742, ",천연 및 혼합조제 조미료 제조업,음식료,070-5178-5047,070-4009-0330,8,3,0,0,11,유자샐러드소스,0,39,568,607
79,진주상평일반산업단지,(주)화신건재,경상남도 진주시 동진로 321 (상대동),경상남도 진주시 상대동 33-104번지,"23232, ",타일 및 유사 비내화 요업제품 제조업,비금속,055-762-6000,055-762-6684,5,2,0,0,7,"타일2,3차소성제품",3330,1800.43,822,2622.43
80,진주상평일반산업단지,(주)희주테크,경상남도 진주시 큰들로65번길 16 (상평동),경상남도 진주시 상평동 213-13번지,"31322, ",항공기용 부품 제조업,"자동차, 운송장비",공람,055-762-4680,3,0,0,0,3,날개부품 등,0,230,0,230
81,진주상평일반산업단지,EMS,경상남도 진주시 공단로140번길 16 (상평동),경상남도 진주시 상평동 201-1번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-754-1188,055-754-1189,6,0,0,0,6,"자동차,농기계,선박부품",1262.1,432,239.39,671.39
82,진주상평일반산업단지,SC하이텍,경상남도 진주시 도동로87번길 11 (상평동),경상남도 진주시 상평동 55-89번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",공람,공람,1,0,0,0,1,"BLOCK, SHAFT",3673,1373.125,0,1373.125
83,진주상평일반산업단지,T&G 용진,경상남도 진주시 동진로264번길 15-1 (상대동),경상남도 진주시 상대동 33-128번지,"29210, ",농업 및 임업용 기계 제조업,"금속가공, 기계",055-752-7605,055-759-7761,20,5,0,0,25,농기구부품,1244,956.62,0,956.62
84,진주상평일반산업단지,가야냉열기,경상남도 진주시 도동로 75 (상평동),경상남도 진주시 상평동 55-15번지,"29171, 29172, 29173",산업용 냉장 및 냉동 장비 제조업 외 2 종,"금속가공, 기계",055-761-7778,055-762-0623,8,2,0,0,10,에어콘및냉동기부품,327.64,66,117.2,183.2
85,진주상평일반산업단지,갑진정밀,경상남도 진주시 동진로264번길 15-3 (상대동),경상남도 진주시 상대동 33-130번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-755-1911,055-758-2191,5,0,0,0,5,유압배관,733.5,491.03,3.2,494.23
86,진주상평일반산업단지,갑청금속,경상남도 진주시 도동로 75 (상평동),경상남도 진주시 상평동 55-15번지,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종,"자동차, 운송장비",055-757-6867,055-757-1345,8,2,2,0,12,"냉각팬축, 콘넥트, 펌퍼브라켓",1638.2,669,50,719
87,진주상평일반산업단지,강남염업사,경상남도 진주시 남강로1385번길 7 (상대동),경상남도 진주시 상대동 33-12번지,"10741, ","식초, 발효 및 화학 조미료 제조업",음식료,055-752-8266,055-762-9266,5,1,0,0,6,정제소금(재제염),1658,349.38,190.37,539.75
88,진주상평일반산업단지,건명테크,경상남도 진주시 남강로1317번길 16(상대동) 외 1필지,경상남도 진주시 상대동 33-180 외 1필지,"25914, ",그 외 금속 압형제품 제조업,"금속가공, 기계",055-758-5813,055-758-5803,1,1,5,0,7,농기계부품,1963,1376.7,210.02,1586.72
89,진주상평일반산업단지,건원공업,경상남도 진주시 돗골로70번길 20 (상평동),경상남도 진주시 상평동 201-3번지,"25924, ",절삭가공 및 유사처리업,"금속가공, 기계",055-757-6036,055,15,5,0,0,20,중장비부품,956.4,334.8,180,514.8
